"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"arabinogalactan-protein activities","arabinogalactan-protein activities","arabinogalactan-protein activities","4/373","42/35106",0.0952380952380952,8.96361547299885,5.35145594532482,0.00102052297069805,0.0145135293701049,0.00841223887541055,"HORVU.MOREX.r3.2HG0152530/HORVU.MOREX.r3.3HG0278710/HORVU.MOREX.r3.5HG0493200/HORVU.MOREX.r3.5HG0517170",4
"microtubule-stabilizing factor *(WDL1/2/++)","microtubule-stabilizing factor *(WDL1/2/++)","microtubule-stabilizing factor *(WDL1/2/++)","2/373","5/35106",0.4,37.6471849865952,8.49246243114656,0.00110229336988138,0.0145135293701049,0.00841223887541055,"HORVU.MOREX.r3.3HG0219790/HORVU.MOREX.r3.5HG0520100",2
"LRR-V protein kinase","LRR-V protein kinase","LRR-V protein kinase","2/373","6/35106",0.333333333333333,31.372654155496,7.71032293826216,0.00164182066262183,0.0199544357457115,0.0115658621577408,"HORVU.MOREX.r3.4HG0405780/HORVU.MOREX.r3.7HG0722360",2
"Neprosin-type prolyl peptidase *(LOTR1)","Neprosin-type prolyl peptidase *(LOTR1)","Neprosin-type prolyl peptidase *(LOTR1)","2/373","7/35106",0.285714285714286,26.8908464189966,7.09930203551665,0.00228241017884689,0.0240413872171873,0.0139347147761179,"HORVU.MOREX.r3.2HG0132270/HORVU.MOREX.r3.5HG0522560",2
"sucrose synthase","sucrose synthase","sucrose synthase","2/373","7/35106",0.285714285714286,26.8908464189966,7.09930203551665,0.00228241017884689,0.0240413872171873,0.0139347147761179,"HORVU.MOREX.r3.7HG0639980/HORVU.MOREX.r3.7HG0750150",2
"diacylglycerol kinase activities","diacylglycerol kinase activities","diacylglycerol kinase activities","2/373","8/35106",0.25,23.529490616622,6.60424137523877,0.00302186500204341,0.0298409168951787,0.0172962009985379,"HORVU.MOREX.r3.5HG0440700/HORVU.MOREX.r3.6HG0622450",2
"RLCK-VIII receptor-like protein kinase activities","RLCK-VIII receptor-like protein kinase activities","RLCK-VIII receptor-like protein kinase activities","2/373","10/35106",0.2,18.8235924932976,5.84163193639503,0.00478875770024873,0.0445072774493706,0.0257970229053647,"HORVU.MOREX.r3.6HG0542970/HORVU.MOREX.r3.7HG0685970",2
"ETR/ERS receptor activity","ETR/ERS receptor activity","ETR/ERS receptor activity","2/373","11/35106",0.181818181818182,17.1123568120887,5.53860695238598,0.00581197506460589,0.0497385130894941,0.0288291181797867,"HORVU.MOREX.r3.1HG0023840/HORVU.MOREX.r3.6HG0630560",2
"RALF/RALFL-peptide activity","RALF/RALFL-peptide activity","RALF/RALFL-peptide activity","3/373","35/35106",0.0857142857142857,8.06725392569897,4.33489317571973,0.00605366426973993,0.0497385130894941,0.0288291181797867,"HORVU.MOREX.r3.2HG0209290/HORVU.MOREX.r3.4HG0378980/HORVU.MOREX.r3.7HG0711070",3
"GRF transcription factor","GRF transcription factor","GRF transcription factor","2/373","12/35106",0.166666666666667,15.686327077748,5.27296804786707,0.00692561574663843,0.0497385130894941,0.0288291181797867,"HORVU.MOREX.r3.4HG0339430/HORVU.MOREX.r3.7HG0641080",2
"RLCK-V receptor-like protein kinase","RLCK-V receptor-like protein kinase","RLCK-V receptor-like protein kinase","2/373","12/35106",0.166666666666667,15.686327077748,5.27296804786707,0.00692561574663843,0.0497385130894941,0.0288291181797867,"HORVU.MOREX.r3.2HG0168350/HORVU.MOREX.r3.4HG0354250",2
"TON1-TRM-PP2A (TTP) preprophase band formation complex","TON1-TRM-PP2A (TTP) preprophase band formation complex","TON1-TRM-PP2A (TTP) preprophase band formation complex","2/373","12/35106",0.166666666666667,15.686327077748,5.27296804786707,0.00692561574663843,0.0497385130894941,0.0288291181797867,"HORVU.MOREX.r3.2HG0126960/HORVU.MOREX.r3.2HG0156930",2
"coat protein recruiting","coat protein recruiting","coat protein recruiting","3/373","38/35106",0.0789473684210526,7.43036545788063,4.10998003049154,0.00762226955569419,0.0513667685277852,0.0297728771613412,"HORVU.MOREX.r3.4HG0380130/HORVU.MOREX.r3.5HG0495100/HORVU.MOREX.r3.7HG0685200",3
"LRR-VI protein kinase activities","LRR-VI protein kinase activities","LRR-VI protein kinase activities","2/373","13/35106",0.153846153846154,14.4796865333058,5.0374294553518,0.00812765324806728,0.0513667685277852,0.0297728771613412,"HORVU.MOREX.r3.1HG0062140/HORVU.MOREX.r3.2HG0214260",2
"SCAR/WAVE ARP2/3-activating complex","SCAR/WAVE ARP2/3-activating complex","SCAR/WAVE ARP2/3-activating complex","2/373","13/35106",0.153846153846154,14.4796865333058,5.0374294553518,0.00812765324806728,0.0513667685277852,0.0297728771613412,"HORVU.MOREX.r3.3HG0246420/HORVU.MOREX.r3.3HG0273340",2
"catecholic coumarin metal chelator","catecholic coumarin metal chelator","catecholic coumarin metal chelator","1/373","1/35106",1,94.1179624664879,9.64976489177265,0.0106249643935505,0.0524607616931558,0.0304069704683848,"HORVU.MOREX.r3.3HG0305780",1
"cell surface receptor *(AtRLP4-L1)","cell surface receptor *(AtRLP4-L1)","cell surface receptor *(AtRLP4-L1)","1/373","1/35106",1,94.1179624664879,9.64976489177265,0.0106249643935505,0.0524607616931558,0.0304069704683848,"HORVU.MOREX.r3.3HG0227750",1
"cell surface receptor *(AtRLP4)","cell surface receptor *(AtRLP4)","cell surface receptor *(AtRLP4)","1/373","1/35106",1,94.1179624664879,9.64976489177265,0.0106249643935505,0.0524607616931558,0.0304069704683848,"HORVU.MOREX.r3.2HG0143250",1
"component *(ARP5)","component *(ARP5)","component *(ARP5)","1/373","1/35106",1,94.1179624664879,9.64976489177265,0.0106249643935505,0.0524607616931558,0.0304069704683848,"HORVU.MOREX.r3.3HG0229480",1
"DNA phosphatase *(ZDP)","DNA phosphatase *(ZDP)","DNA phosphatase *(ZDP)","1/373","1/35106",1,94.1179624664879,9.64976489177265,0.0106249643935505,0.0524607616931558,0.0304069704683848,"HORVU.MOREX.r3.3HG0287310",1
"homolog pairing factor *(ASY1)","homolog pairing factor *(ASY1)","homolog pairing factor *(ASY1)","1/373","1/35106",1,94.1179624664879,9.64976489177265,0.0106249643935505,0.0524607616931558,0.0304069704683848,"HORVU.MOREX.r3.5HG0494140",1
"microtubule assembly factor *(TCS1)","microtubule assembly factor *(TCS1)","microtubule assembly factor *(TCS1)","1/373","1/35106",1,94.1179624664879,9.64976489177265,0.0106249643935505,0.0524607616931558,0.0304069704683848,"HORVU.MOREX.r3.4HG0392120",1
"phosphatidylinositol 4-kinase activities","phosphatidylinositol 4-kinase activities","phosphatidylinositol 4-kinase activities","2/373","19/35106",0.105263157894737,9.90715394384083,4.02448577654731,0.0170867842242707,0.0695770721193898,0.0403278166181673,"HORVU.MOREX.r3.7HG0671910/HORVU.MOREX.r3.7HG0727290",2
"pectin acetylation","pectin acetylation","pectin acetylation","2/373","21/35106",0.0952380952380952,8.96361547299885,3.78291815368692,0.0206936240252722,0.0695770721193898,0.0403278166181673,"HORVU.MOREX.r3.4HG0382260/HORVU.MOREX.r3.7HG0663150",2
"calmodulin-gated calcium channel  *(MLO4/11/14)","calmodulin-gated calcium channel  *(MLO4/11/14)","calmodulin-gated calcium channel  *(MLO4/11/14)","1/373","2/35106",0.5,47.058981233244,6.75023323658332,0.0211373383653842,0.0695770721193898,0.0403278166181673,"HORVU.MOREX.r3.4HG0347680",1
"chromosome axis protein *(ASY4)","chromosome axis protein *(ASY4)","chromosome axis protein *(ASY4)","1/373","2/35106",0.5,47.058981233244,6.75023323658332,0.0211373383653842,0.0695770721193898,0.0403278166181673,"HORVU.MOREX.r3.2HG0168700",1
"exonuclease *(EXO1)","exonuclease *(EXO1)","exonuclease *(EXO1)","1/373","2/35106",0.5,47.058981233244,6.75023323658332,0.0211373383653842,0.0695770721193898,0.0403278166181673,"HORVU.MOREX.r3.3HG0293210",1
"GDP-D-mannose pyrophosphorylase *(VTC1)","GDP-D-mannose pyrophosphorylase *(VTC1)","GDP-D-mannose pyrophosphorylase *(VTC1)","1/373","2/35106",0.5,47.058981233244,6.75023323658332,0.0211373383653842,0.0695770721193898,0.0403278166181673,"HORVU.MOREX.r3.4HG0389060",1
"glutathione synthetase *(GSH2)","glutathione synthetase *(GSH2)","glutathione synthetase *(GSH2)","1/373","2/35106",0.5,47.058981233244,6.75023323658332,0.0211373383653842,0.0695770721193898,0.0403278166181673,"HORVU.MOREX.r3.7HG0730990",1
"HOP2-MND1 presynaptic filament stabilization complex","HOP2-MND1 presynaptic filament stabilization complex","HOP2-MND1 presynaptic filament stabilization complex","1/373","2/35106",0.5,47.058981233244,6.75023323658332,0.0211373383653842,0.0695770721193898,0.0403278166181673,"HORVU.MOREX.r3.5HG0471110",1
"Kinesin-14-type motor protein *(KIN14)","Kinesin-14-type motor protein *(KIN14)","Kinesin-14-type motor protein *(KIN14)","1/373","2/35106",0.5,47.058981233244,6.75023323658332,0.0211373383653842,0.0695770721193898,0.0403278166181673,"HORVU.MOREX.r3.2HG0199160",1
"Kinesin-4-type motor protein","Kinesin-4-type motor protein","Kinesin-4-type motor protein","1/373","2/35106",0.5,47.058981233244,6.75023323658332,0.0211373383653842,0.0695770721193898,0.0403278166181673,"HORVU.MOREX.r3.5HG0468240",1
"Kinesin-U-type motor protein","Kinesin-U-type motor protein","Kinesin-U-type motor protein","1/373","2/35106",0.5,47.058981233244,6.75023323658332,0.0211373383653842,0.0695770721193898,0.0403278166181673,"HORVU.MOREX.r3.7HG0647310",1
"mobile transcription factor *(MYB3R1)","mobile transcription factor *(MYB3R1)","mobile transcription factor *(MYB3R1)","1/373","2/35106",0.5,47.058981233244,6.75023323658332,0.0211373383653842,0.0695770721193898,0.0403278166181673,"HORVU.MOREX.r3.1HG0031520",1
"NAD+ transporter *(NDT)","NAD+ transporter *(NDT)","NAD+ transporter *(NDT)","1/373","2/35106",0.5,47.058981233244,6.75023323658332,0.0211373383653842,0.0695770721193898,0.0403278166181673,"HORVU.MOREX.r3.3HG0261410",1
"regulatory protein *(SMXL6/7)","regulatory protein *(SMXL6/7)","regulatory protein *(SMXL6/7)","1/373","2/35106",0.5,47.058981233244,6.75023323658332,0.0211373383653842,0.0695770721193898,0.0403278166181673,"HORVU.MOREX.r3.4HG0354980",1
"RLCK-X receptor-like protein kinase","RLCK-X receptor-like protein kinase","RLCK-X receptor-like protein kinase","1/373","2/35106",0.5,47.058981233244,6.75023323658332,0.0211373383653842,0.0695770721193898,0.0403278166181673,"HORVU.MOREX.r3.7HG0743900",1
"subclass-Y1 metal cation transporter *(ZTP29)","subclass-Y1 metal cation transporter *(ZTP29)","subclass-Y1 metal cation transporter *(ZTP29)","1/373","2/35106",0.5,47.058981233244,6.75023323658332,0.0211373383653842,0.0695770721193898,0.0403278166181673,"HORVU.MOREX.r3.7HG0713410",1
"AP2 transcription factor activity","AP2 transcription factor activity","AP2 transcription factor activity","2/373","23/35106",0.0869565217391304,8.18417064925982,3.57157646498693,0.0245867868048667,0.0776942463033787,0.0450326410952295,"HORVU.MOREX.r3.2HG0204770/HORVU.MOREX.r3.5HG0525620",2
"receptor complex","receptor complex","receptor complex","2/373","23/35106",0.0869565217391304,8.18417064925982,3.57157646498693,0.0245867868048667,0.0776942463033787,0.0450326410952295,"HORVU.MOREX.r3.2HG0213660/HORVU.MOREX.r3.3HG0285210",2
"NF-Y transcription factor complex","NF-Y transcription factor complex","NF-Y transcription factor complex","2/373","26/35106",0.0769230769230769,7.23984326665292,3.29836200633809,0.030933654117407,0.0874219872006242,0.0506709719284098,"HORVU.MOREX.r3.4HG0404220/HORVU.MOREX.r3.5HG0508050",2
"glutamate dehydrogenase *(GDH)","glutamate dehydrogenase *(GDH)","glutamate dehydrogenase *(GDH)","1/373","3/35106",0.333333333333333,31.372654155496,5.45178865734015,0.0315383118381999,0.0874219872006242,0.0506709719284098,"HORVU.MOREX.r3.5HG0518150",1
"large subunit *(NRPC14)","large subunit *(NRPC14)","large subunit *(NRPC14)","1/373","3/35106",0.333333333333333,31.372654155496,5.45178865734015,0.0315383118381999,0.0874219872006242,0.0506709719284098,"HORVU.MOREX.r3.4HG0341300",1
"RCK protein kinase","RCK protein kinase","RCK protein kinase","1/373","3/35106",0.333333333333333,31.372654155496,5.45178865734015,0.0315383118381999,0.0874219872006242,0.0506709719284098,"HORVU.MOREX.r3.6HG0606710",1
"regulatory protein of microtubule orientation *(CLASP)","regulatory protein of microtubule orientation *(CLASP)","regulatory protein of microtubule orientation *(CLASP)","1/373","3/35106",0.333333333333333,31.372654155496,5.45178865734015,0.0315383118381999,0.0874219872006242,0.0506709719284098,"HORVU.MOREX.r3.6HG0595110",1
"ROP-activating protein *(RenGAP)","ROP-activating protein *(RenGAP)","ROP-activating protein *(RenGAP)","1/373","3/35106",0.333333333333333,31.372654155496,5.45178865734015,0.0315383118381999,0.0874219872006242,0.0506709719284098,"HORVU.MOREX.r3.4HG0390910",1
"scaffold protein *(TTL)","scaffold protein *(TTL)","scaffold protein *(TTL)","1/373","3/35106",0.333333333333333,31.372654155496,5.45178865734015,0.0315383118381999,0.0874219872006242,0.0506709719284098,"HORVU.MOREX.r3.1HG0093420",1
"adaptor protein *(ECA1)","adaptor protein *(ECA1)","adaptor protein *(ECA1)","1/373","4/35106",0.25,23.529490616622,4.66963777721653,0.041829062192424,0.0944141689486142,0.054723735499863,"HORVU.MOREX.r3.3HG0282150",1
"alpha-like-class expansin","alpha-like-class expansin","alpha-like-class expansin","1/373","4/35106",0.25,23.529490616622,4.66963777721653,0.041829062192424,0.0944141689486142,0.054723735499863,"HORVU.MOREX.r3.4HG0409870",1
"D-class RAB GTPase","D-class RAB GTPase","D-class RAB GTPase","1/373","4/35106",0.25,23.529490616622,4.66963777721653,0.041829062192424,0.0944141689486142,0.054723735499863,"HORVU.MOREX.r3.2HG0170560",1
"Katanin ATP-dependent microtubule severing complex","Katanin ATP-dependent microtubule severing complex","Katanin ATP-dependent microtubule severing complex","1/373","4/35106",0.25,23.529490616622,4.66963777721653,0.041829062192424,0.0944141689486142,0.054723735499863,"HORVU.MOREX.r3.2HG0209810",1
"Kinesin-12-type motor protein activity","Kinesin-12-type motor protein activity","Kinesin-12-type motor protein activity","1/373","4/35106",0.25,23.529490616622,4.66963777721653,0.041829062192424,0.0944141689486142,0.054723735499863,"HORVU.MOREX.r3.2HG0109850",1
"metacaspase-like regulator *(MCP2)","metacaspase-like regulator *(MCP2)","metacaspase-like regulator *(MCP2)","1/373","4/35106",0.25,23.529490616622,4.66963777721653,0.041829062192424,0.0944141689486142,0.054723735499863,"HORVU.MOREX.r3.3HG0294980",1
"MSH2-x mismatch repair heterodimers","MSH2-x mismatch repair heterodimers","MSH2-x mismatch repair heterodimers","1/373","4/35106",0.25,23.529490616622,4.66963777721653,0.041829062192424,0.0944141689486142,0.054723735499863,"HORVU.MOREX.r3.1HG0033310",1
"nucleoside hydrolase *(NSH3)","nucleoside hydrolase *(NSH3)","nucleoside hydrolase *(NSH3)","1/373","4/35106",0.25,23.529490616622,4.66963777721653,0.041829062192424,0.0944141689486142,0.054723735499863,"HORVU.MOREX.r3.1HG0062450",1
"p-coumarate:CoA ligase *(4CL)","p-coumarate:CoA ligase *(4CL)","p-coumarate:CoA ligase *(4CL)","1/373","4/35106",0.25,23.529490616622,4.66963777721653,0.041829062192424,0.0944141689486142,0.054723735499863,"HORVU.MOREX.r3.6HG0606110",1
"regulatory E3 ubiquitin ligase substrate adaptor *(MEL1/2/++)","regulatory E3 ubiquitin ligase substrate adaptor *(MEL1/2/++)","regulatory E3 ubiquitin ligase substrate adaptor *(MEL1/2/++)","1/373","4/35106",0.25,23.529490616622,4.66963777721653,0.041829062192424,0.0944141689486142,0.054723735499863,"HORVU.MOREX.r3.5HG0438910",1
"shikimate kinase *(SKL1)","shikimate kinase *(SKL1)","shikimate kinase *(SKL1)","1/373","4/35106",0.25,23.529490616622,4.66963777721653,0.041829062192424,0.0944141689486142,0.054723735499863,"HORVU.MOREX.r3.2HG0206550",1
"subgroup-C5 protein kinase *(RAF19/36/43)","subgroup-C5 protein kinase *(RAF19/36/43)","subgroup-C5 protein kinase *(RAF19/36/43)","1/373","4/35106",0.25,23.529490616622,4.66963777721653,0.041829062192424,0.0944141689486142,0.054723735499863,"HORVU.MOREX.r3.3HG0288480",1
"threonine aldolase","threonine aldolase","threonine aldolase","1/373","4/35106",0.25,23.529490616622,4.66963777721653,0.041829062192424,0.0944141689486142,0.054723735499863,"HORVU.MOREX.r3.4HG0413370",1
